Name,Phone Number,Address,Website,Maps Link
"Marinduque Province Community eCenter","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=16750217001644947589"
"Riverside","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=6274957950758383952"
"drainage","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=9049406686920838429"
"B&H","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=10410166412444190850"
"White House","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=8937300305124717581"
"Agustin Residence","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=11897082333285352981"
"Rowin's Tree House","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=6065331083009611287"
"Sitio Turil","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=15608619655925489905"
"Randy Malabayabas House","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7747166910497287092"
"Apo-Rey Construction Supplies Trading","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=15379866106930730731"
"Construction Materials Direct Manufacturer","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=6749391639973058211"
"MERES HARDWARE AND CONSTRUCTION SUPPLY","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=10772443921312142785"
"JCM Hardware & Construction Supply","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=13236117122694815473"
"Arwa Construction Supplies Trading","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=8649468343210379761"
"Rapide 1 Marinduque - Auto Service, Car Repair.","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=11859076398192745834"
"Proff Tech Auto Care","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=16675952571108382441"
"Boac Cellphone Repair Shop","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=2881908313278886369"
"Laon ,Mogpog ,Mogpog ,Marinduque","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7483738040381401912"
"Joemar dela Costa","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=1987006369408761477"
"Star Honda Boac Marinduque","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=14449133729063436934"
"V-Likebee Motorcycle Parts and Accessories Shop","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=14857317381655764895"
"Motortrade - Boac","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=16160551248575089819"
"4R Motorcycle Parts and Accessories Store","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=1100666208282482507"
"Adds Motorcycle Parts and General Merchandise","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7773585029105211250"
"2bros motorcycle shop and repair shop","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=6064467126882428988"
"Motorcentral Yamaha Boac Marinduque","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=1953963577674901473"
"J-Specs Motorcycle Part and Accessories Shop","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=1153905446889405600"
"Ryse Carwash & Vulcanizing Shop","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7350062734770284725"
"Marigold Kitchenette","0910 449 6468","326 Bonifacio St, Gasan, Marinduque, Philippines","N/A",""
"MONSANBREW","0939 729 8026","Zamora St, Gasan, 4905 Marinduque, Philippines","N/A",""
"Gasan Recreation Center","N/A","8RFW+F6M, Barangay Dos, Gasan, Marinduque, Philippines","N/A",""
"Jem-Cel Eatery","0909 977 7189","8RHW+C5Q, Boac - Gasan - Torrijos Rd, Gasan, Marinduque, Philippines","N/A",""
"Bayview Bistros & Pub","N/A","8RFW+F5R, Gasan, Marinduque, Philippines","N/A",""
"Love Sakura Food Hub","0923 106 4974","Sitio Quatis Rd, Masiga, Gasan, 4905 Marinduque, Philippines","N/A",""
"Two Kings' Cafe & Bar","0977 619 2541","Purok Mahogany, Gasan, 4905 Marinduque, Philippines","N/A",""
"SINUGBA By: Ristorante D’l Jose","N/A","340c Marinduque Circumferential Rd, Gasan, Marinduque, Philippines","N/A",""
"El Capitan Resto Bar","N/A","7VP8+3PC, Gasan, Marinduque, Philippines","N/A",""
"TwenTeaOne cafe","0917 157 4473","427 P Sotto St, Gasan, Marinduque, Philippines","N/A",""
"MAMIHAN SA KUBO,Antipolo ,Gasan ,Marinduque","N/A","Purok 2, Gasan, Marinduque, Philippines","N/A",""
"Ayns Moving kitchen HQ","N/A","duluhan purok 6, Gasan, 4905 Marinduque, Philippines","N/A",""
"Bangketa Brew","N/A","8V44+346, Boac - Gasan - Torrijos Rd, Gasan, Marinduque, Philippines","N/A",""
"D' Capskie Western Food House","0917 144 7093","Sitio Ipil, Purok IV, Gasan, 4905 Marinduque, Philippines","N/A",""
"Jhaja's cake House cafe","0966 773 1167","8RVJ+924, Bangbang Barangay Rd, Gasan, Marinduque, Philippines","N/A",""
"Tabag's Place","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=6244671275093494244"
"DJ Plaza Hotel","(042) 332 0110","314 Bonifacio St, Gasan, Marinduque, Philippines","https://maps.google.com/?cid=7479921335834954039",""
"ARJ & Abbygail Lodging House","(042) 342 1024","200 Cayetano St, Gasan, Marinduque, Philippines","https://maps.google.com/?cid=3715585178344906365",""
"R and B Bed And Breakfast","0916 589 4296","9RCP+VG4, Gasan, Marinduque, Philippines","https://maps.google.com/?cid=4874688036739040523",""
"Blue Castle Beach Resort","0918 237 9556","Gasan, Marinduque, Philippines","https://maps.google.com/?cid=5808449633868930808",""
"Pinky's Taha Beach Resort","N/A","8RJR+PW5, Marinduque Circumferential Rd, Gasan, Marinduque, Philippines","https://maps.google.com/?cid=15756167129805178787",""
"Narvas Treasure place","0975 289 8183","Taliña, Sitio taliña, Gasan, 4905 Marinduque, Philippines","https://maps.google.com/?cid=186176320195785769",""
"Cozea Beach Lodge","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=10124739563012775662"
"Beach Club Cagpo","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=1716899784538302685"
"Hidden Greenery Resort & Event Place","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=18437402552492964475"
"Blue Sea Resort","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=16677175909934676661"
"Ellaine's Private Resort","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=5961434477665957374"
"GRACIA'S BEACH RESORT","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=2271311253354849382"
"Palm Beach Resort","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=2111816661349499081"
"Spencer’s Transient Inn","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=3726009837324820959"
"El Centro Convenience Store","(036) 278 9074","8RVM+6R7, Gasan, Marinduque, Philippines","N/A",""
"Store","N/A","32 Dawis Barangay Rd, Gasan, Marinduque, Philippines","N/A",""
"Libtangin Tiangge Market","N/A","8RXJ+7R3, Gasan, Marinduque, Philippines","N/A",""
"SOUTH emerald SUPERMARKET","N/A","8RFW+QPR, 314 Bonifacio St, Gasan, Marinduque, Philippines","N/A",""
"Lady's Minimart","N/A","9R7H+C3J, Gasan, Marinduque, Philippines","N/A",""
"Chona's Grocery store","N/A","8RVH+HM4, Gasan, Marinduque, Philippines","N/A",""
"Tiya Amy Sari-Sari Store/PisoWifi and Pony Gcash","0966 772 9182","CENTRAL TRES, Tiguion, Gasan, 4905 Marinduque, Philippines","N/A",""
"Yorkshire Rose","0961 361 0167","8V82+4JM, Boac - Gasan - Torrijos Rd, Gasan, 4905 Marinduque, Philippines","N/A",""
"the garage foodhouse","N/A","8VWW+9CX, Gasan, Marinduque, Philippines","N/A",""
"Labuanan's Store","0956 152 3860","7VGQ+R8C, Gasan, Marinduque, Philippines","N/A",""
"Villamin Handicrafts & General Merchandise","(042) 332 0232","8RFW+H8R, Zamora St, Gasan, Marinduque, Philippines","N/A",""
"JB’s Yard","N/A","8RJR+PW5, Marinduque Circumferential Rd, Gasan, Marinduque, Philippines","N/A",""
"Sugar Sari- Sari Store","N/A","Boac - Gasan - Torrijos Rd, Gasan, Marinduque, Philippines","N/A",""
"5M Arts and Crafts","0919 250 9581","Gasan, Marinduque, Philippines","N/A",""
"Zaldy's General store","N/A","7VJJ+8CC, Pinggan, Gasan, Marinduque, Philippines","N/A",""
"gasan marinduque","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=7169488601819370270"
"MANSAN GROCER","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=10871860180677929935"
"Footstep Marinduque","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=218209537848097335"
"Marinduque News","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=15593439947383848543"
"Silong Store","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=2140525097539754794"
"Magahis Dress Shop and General Merchandise","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=8618673619799133327"
"Cebuana Lhuillier Pawnshop - Gasan Marinduque","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=15319398412040545851"
"Gasan","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=10726491455674959954"
"Gabisan Pottery","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=5161606000094318620"
"M Lhuillier - Gasan Marinduque","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=3198522456348118373"
"Heart of Islands Holdings, Inc.","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=16086226127321691975"
"Jc Kame Woodworks","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=17507754144049028278"
"Total (Gasan)","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=17935794657712423715"
"Ivie's Gadget and Accessories Shop","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=17828179508664536854"
"Libtangin ,Gasan ,Gasan ,Marinduque","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=16684274980072019245"
"1018 Bazaar - Marinduque","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=15972719035400773445"
"CARD Bank Inc, Gasan branch","8RGW+PQQ, Barangay Uno, Gasan, Marinduque, Philippines","Gasan, Marinduque","N/A",""
"RANSIB Pera Padala","Gasan, Marinduque, Philippines","Gasan, Marinduque","N/A",""
"MoneyGram (Bonifacio St)","(048) 433 4110","BONIFACIO ST BRGY 1 GASAN MARINDUQUE MARINDUQUE REGION IV B MIMAROPA, Gasan, 4905 Marinduque, Philippines","N/A",""
"MoneyGram (San Jose St)","(032) 348 9400","San Jose St, BARANGAY DOS, Gasan, 4905 Marinduque, Philippines","N/A",""
"MoneyGram (Dili)","(048) 433 4110","BARANGAY, DILI, Gasan, 4905 Marinduque, Philippines","N/A",""
"VickyLin's Bookkeeping Services","0930 527 7551","Purok 5, Barangay, Mahunig, Gasan, 4905 Marinduque, Philippines","N/A",""
"Lhuillier Jewel Financial","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=11133504083952204710"
"PNB MARINDUQUE-STA. CRUZ","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=7716428617826706151"
"RCBC BRANCH - MARINDUQUE","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=17122526851106745564"
"ATM","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=861092405701388087"
"Globe Gcash - Card Bank, Sta. Cruz","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=17144932831632674445"
"Boss Emar","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=1018867811425594370"
"Hospital","Asuncion A. Perez Hospital","N/A","8RFW+7P3, Gasan, 4905 Marinduque, Philippines",""
"Clinic","Gasan Municipal Clinic","N/A","8RGW+8RF, Gasan, Marinduque, Philippines",""
"Pharmacy","TGP The Generics Pharmacy (Gasan)","0933 818 9044","DILI, Gasan, 4905 Marinduque, Philippines",""
"Asuncion A. Perez Hospital","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=2372669639182391783"
"Gasan Municipal Clinic","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=6424101249978549393"
"Torrijos Municipal Hospital","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=2736740165266791366"
"Tiguion Health Center","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=16014731823902744621"
"Gasan Rural Health Unit","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=12058697716397146814"
"Monte's Unicare Dental Clinic","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=7653473980027902437"
"TGP The Generics Pharmacy (Gasan)","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=9800222588400159935"
"Farmacia Salvo","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=10484849458888119084"
"WH Pharmacy","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=13245473305983262228"
"Municipality of Gasan","(042) 342 1074","Gasan Municipal Hall, Gomez St, Gasan, 4509 Marinduque, Philippines","N/A",""
"Public Employment Service Office (PESO) - Gasan","(042) 342 1074","Gasan Municipal Hall, Gasan, 4905 Marinduque, Philippines","N/A",""
"Department of Agrarian Reform","N/A","375 Boac - Gasan - Torrijos Rd, Gasan, Marinduque, Philippines","N/A",""
"Gasan Hall of Justice","N/A","Guingona Park, Gasan, Marinduque, Philippines","N/A",""
"Bagtingon SRIP Field Office (NIA)","N/A","14 Boac - Gasan - Torrijos Rd, Gasan, Marinduque, Philippines","N/A",""
"Gasan Municipal Police Station","N/A","316 Marinduque Circumferential Rd, Gasan, Marinduque, Philippines","N/A",""
"Pinggan Gasan, Barangay Hall","N/A","7VJH+CF2, Gasan, 4905 Marinduque, Philippines","N/A",""
"Brgy. Health Center","N/A","9R3R+HX8, Gasan, Marinduque, Philippines","N/A",""
"Civil Aviation Authority of the Philippines - Marinduque Airport","(042) 333 7001","Marinduque Provincial Airport, Gasan, Marinduque, 9R5H+95P Marinduque Airport Terminal Building, Marinduque National Rd, Gasan, 4905 Marinduque, Philippines","N/A",""
"Gasan Courthouse","N/A","8RGW+HH4, Gasan, 4905 Marinduque, Philippines","N/A",""
"Bahi Barangay Hall","N/A","9R9H+23J, Gasan, Marinduque, Philippines","N/A",""
"Community Fish Landing Center","N/A","Purok 5, Gasan, Marinduque, Philippines","N/A",""
"Tapuyan Baranggay Hall","N/A","9V82+MMP, Gasan, Marinduque, Philippines","N/A",""
"Barangay Bognuyan Multi Purpose Hall","N/A","7VV6+CR4, Gasan, Marinduque, Philippines","N/A",""
"Tiguion Public School","0918 922 3258","176 Tigioun Barangay Road, Tiguion, Gasan, Gasan, 4905 Marinduque, Philippines","N/A",""
"Gasan Central School","N/A","305 Bonifacio St, Gasan, 4905 Marinduque, Philippines","N/A",""
"Tiguion National High School","N/A","Central Dos, Gasan, 4905 Marinduque, Philippines","N/A",""
"Bognuyan National High School","N/A","7VW6+8V9, Gasan, Marinduque, Philippines","N/A",""
"Tapuyan National High School","N/A","9V82+HMX, Gasan, Marinduque, Philippines","N/A",""
"Marinduque Christian Academy","0920 865 2282","7VMR+F37, Barangay Road, Gasan, 4905 Marinduque, Philippines","N/A",""
"Philippine Dental Association Incorporated Marinduque Chapter","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=11381271088568300868"
"Roma Cris","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=4722045308535537372"
"Buenavista Municipal Complex","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=773122541153537825"
"JGARAY HARDWARE","Hardware","Guevara st, Gasan, Marinduque, Philippines","N/A",""
"QUATIS HARDWARE AND CONSTRUCTION SUPPLIES","Hardware, Construction","9R2J+754, Quatis Rd, Gasan, Marinduque, Philippines","N/A",""
"A & D Hardware and General Merchandise","Hardware","Pinggan, Gasan, Marinduque, Philippines","N/A",""
"JS Sapungan Hardware","Hardware","8RVM+CVF Bangbang, Gasan, Marinduque, Philippines","N/A",""
"Kate's Hardware and General Merchandise","Hardware","8R9X+6M6, Gasan, Marinduque, Philippines","N/A",""
"Cyclequeen Motorcycle Parts and Accessories Trading","Auto Services (Parts)","0920 192 9389","Purok 2, Matandang Gasan, Gasan, 4905 Marinduque, Philippines",""
"Morion Yayamanin Thai Parts Shop","Auto Services (Parts)","Gasan, 4905 Marinduque, Philippines","N/A",""
"IAH LPG TRADING","Auto Services (Repair/LPG)","0917 319 0916","Gasan, Marinduque, Philippines",""
"RM Motorcycle Parts and Accessories Trading","Auto Services (Parts)","(042) 754 2326","Jose Abad Santos St, Gasan, Marinduque, Philippines",""
"JMSL motorcycle parts and accessories","Auto Services (Parts)","0998 555 2819","Purok1, Gasan, Marinduque, Philippines",""
"Bermark Gen. Merchandise","Auto Services (Parts)","9R7H+C3J, Gasan, Marinduque, Philippines","N/A",""
"Marinduque GETAWAY Car Rental","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=10485141932041809221"
"Wish Oil Gasoline Station","Check Map Link","Gasan, Marinduque","N/A","https://maps.google.com/?cid=161119285087938847"
"Sitio Cafe","N/A","Mogpog, Marinduque, Philippines","N/A",""
"Ate Bry's Smoothies & Snack house Mogpog","N/A","FVG5+2M8, Molave St, Mogpog, Marinduque, Philippines","N/A",""
"Street 74 Restaurant","0947 345 3460","Mogpog, 4901 Marinduque, Philippines","N/A",""
"Kainan sa Parola Pancitan","N/A","GVJ9+326, Mogpog, Marinduque, Philippines","N/A",""
"Carinderia sa Balancan","N/A","GVM8+J6J, Mogpog - Balanacan Port Rd, Mogpog, Marinduque, Philippines","N/A",""
"Mariano's Food Stop","0915 286 0778","Along Marinduque Circumferential Road, FWH7+844, Mogpog, Marinduque, Philippines","N/A",""
"MCLAUDE FRIED CHICKEN","N/A","GVH9+G6F, Mogpog - Balanacan Port Rd, Mogpog, Marinduque, Philippines","N/A",""
"Kalambingan food hub","0938 446 8250","National rd, FVG9+263, Rizal St, Mogpog, 4901 Marinduque, Philippines","N/A",""
"Casa Silmara","0945 613 0834","Nangka 1, Mogpog, 4900 Marinduque, Philippines","N/A",""
"CM's Mogpog Food Stall","N/A","FVH4+H3, Mogpog, Marinduque, Philippines","N/A",""
"Sarang-Jin Keopi Hub","0947 697 4741","Yakal St, Mogpog, 4901 Marinduque, Philippines","N/A",""
"Doughboys Bakery","N/A","FVG6+229, Doña Aurora St, Mogpog, Marinduque, Philippines","N/A",""
"Poblacion Pares Atbp.","N/A","Market Site, Pob, Mogpog, Marinduque, Philippines","N/A",""
"Pull Over Mamanes Dampa","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=16230496455099242991"
"Caffe Lea and Riztoran","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=1305758908975152844"
"Hilltop Hotel","(042) 332 3074","Barangay Mataas na Bayan, Mogpog, Marinduque, FVC7+R99, Mogpog, Marinduque, Philippines","N/A",""
"Marketpoint Hotel","0967 084 6269","Mendez St, Mogpog 512820 512820, Mogpog, 4901 Marinduque, Philippines","N/A",""
"R & J Dry Goods Store","0956 637 2420","Riverside, Mogpog, 4901 Marinduque, Philippines","N/A",""
"Rosing Store","N/A","FVF6+QQ3, Paras St, Mogpog, Marinduque, Philippines","N/A",""
"Samu't samo general merchandise","N/A","Stall no. 2, Mogpog public market, Mogpog, 4901 Marinduque, Philippines","N/A",""
"MotoCrush Helmet and Apparels","0968 554 2772","FVG6+MCG, Mogpog, Marinduque, Philippines","N/A",""
"Labao Store","0970 825 7493","Banto, Mogpog, 4901 Marinduque, Philippines","N/A",""
"Sarang-Jin Minimart","0919 249 2905","Yakal St, Mogpog, 4901 Marinduque, Philippines","N/A",""
"JN'M Consumer Goods Store","0930 791 9286","Sitio Embargo, Mogpog, Marinduque, Philippines","N/A",""
"Japan Store O Share Marinduque","N/A","003 Monserat St, Mogpog, Marinduque, Philippines","N/A",""
"AJ&A CHOCO HUB [20 from Shops query]","0946 620 4814","FVF6+V4G, Doña Aurora St, Mogpog, Marinduque, Philippines","N/A",""
"Dakero Dry Goods Store [12 from Supermarkets query]","0921 208 8801","Market Site, Poblacion, Mogpog, Marinduque, Philippines","N/A",""
"Ronald & Rochelle Vegetable and Sari-sari Store [14 from Supermarkets query]","N/A","FVF5+QPJ, Mendez St, Mogpog, Marinduque, Philippines","N/A",""
"TAKOYAKI PRINCE [16 from Supermarkets query]","0951 397 5355","021 Bonifacio St, Mogpog, Marinduque, Philippines","N/A",""
"EMILY'S SARI SARI STORE [20 from Supermarkets query]","N/A","GV64+JRM Ino, Mogpog, Marinduque, Philippines","N/A",""
"GPOD","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=16706738488402492376"
"MELCHI PAWNSHOP (Mogpog Branch)","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=1125327035099958255"
"MharketPlace DGS","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=2075264996102685857"
"STOP N SHOP gen. merchandise","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=12812029300564163802"
"AJ&A CHOCO HUB","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=3189195200765934529"
"Dakero Dry Goods Store","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=13634481766602004233"
"TAKOYAKI PRINCE","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=5536584601998250161"
"EMILY'S SARI SARI STORE","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=2813370203861509840"
"Ronald & Rochelle Vegetable and Sari-sari Store","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=8093513866746206154"
"Card Bank-Mogpog Branch","(042) 332 3079","Market Site, Mogpog, Marinduque, FVF5+5WQ, Mogpog, Marinduque, Philippines","Not available",""
"M Lhuillier - Mogpog","0947 999 0337","Quezon St, Mogpog, Marinduque, Philippines","Not available",""
"RCBC ATM - Sta. Cruz City Hall","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=13517515172785673726"
"Landbank ATM","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=17207511732387829884"
"DIANNE CARLO GENERAL MERCHANDISE","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=582950737390748093"
"Mogpog Health Center","N/A","FVF6+J89, Mogpog, Marinduque, Philippines","N/A",""
"Chua Dental Clinic II (Mogpog Branch)","0977 615 2092","T.E, R.A Bldg, Mendez St, Gitnang Bayan, Mogpog, 4901 Marinduque, Philippines","N/A",""
"Mogpog Birthing Facility","N/A","FVF6+J7H, Doña Aurora St, Mogpog, Marinduque, Philippines","N/A",""
"RN Dental Clinic","0939 742 1993","022 J.P, Rizal St, Mogpog, Marinduque, Philippines","N/A",""
"Family Optical Clinic","0927 614 6372","2nd floor, Mogpog Public Market, Market Site, Mogpog, Marinduque, Philippines","N/A",""
"Dr. Ana Michelle Leal","(042) 332 2534","063 Quezon St, Mogpog, Marinduque, Philippines","N/A",""
"RN Dental CClinic","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=2262025192992795582"
"Sayao Health Center","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=16210529528025720762"
"Mongpong Barangay Health Station","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=18183533150396777313"
"Mogpog Municipal Hall","N/A","Paras St, Mogpog, Marinduque, Philippines","N/A",""
"Mogpog Municipal Agriculture Office (MAO)","N/A","FVF6+M59, Mogpog, Marinduque, Philippines","N/A",""
"Mogpog Fire Station","0939 547 3111","FVF6+H4R, Mogpog, Marinduque, Philippines","N/A",""
"OSCA Office, Mogpog","N/A","FVF6+W32, Doña Aurora St, Mogpog, Marinduque, Philippines","N/A",""
"Mogpog Municipal Police Station","0935 335 4190","Malvar St, Mogpog, Marinduque, Philippines","N/A",""
"Bureau of Agricultural Statistics Marinduque POC","N/A","FVC7+M8C, Mogpog, Marinduque, Philippines","N/A",""
"Mogpog Tech4ed Center","N/A","FVF6+H6X, Mogpog, Marinduque, Philippines","N/A",""
"Department of Agrarian Reform Municipal Office - Boac and Mogpog","N/A","FR4Q+G94, Boac, Marinduque, Philippines","N/A",""
"Mogpog Central School","N/A","FVF6+769, Gitnang Bayan, Mogpog, Marinduque, Philippines","N/A",""
"Mogpog National Comprehensive High School","0908 913 2595","GV24+XMP, Mogpog, 4901 Marinduque, Philippines","N/A",""
"MOGPOG INTERNATIONAL CULINARY SCHOOL INC.","0908 692 2207","Mogpog, Marinduque, Philippines","N/A",""
"Mendez Elementary School","N/A","Mogpog, Marinduque, Philippines","N/A",""
"Tarug Elementary School","N/A","FWWH+QWW, Purok 6, Mogpog, Marinduque, Philippines","N/A",""
"Balanacan National High School","N/A","GVH9+3C8, Mogpog, Marinduque, Philippines","N/A",""
"Ino Elementary School","0918 642 8537","GV65+FQR, Mogpog, 4901 Marinduque, Philippines","N/A",""
"Paye Elementary School","N/A","GVJX+MX2, Mogpog, Marinduque, Philippines","N/A",""
"Magapua Elementary School","N/A","FVFQ+J3R, Mogpog, Marinduque, Philippines","N/A",""
"Bocboc Elementary School","N/A","Bocboc, FVF6+QHC, Mogpog, Marinduque, Philippines","N/A",""
"Barangay Multi Purpose Hall","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=6677717783497452210"
"Malindig Institute","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=18024887808590722190"
"Sumangga Elementary School","Check Map Link","Mogpog, Marinduque","N/A","https://maps.google.com/?cid=15907805925812483527"
"D-ONE Store","Grocery Store","0963 327 4528","Oriental, Napo, Santa Cruz, 4902 Marinduque, Philippines",""
"Vincent Trading","Grocery Store","N/A","F2GH+V99, Santa Cruz, Marinduque, Philippines",""
"BAKALA","Grocery Store","N/A","155 Tavera street, Corner T Claudio, Brgy. Pag-asa, Santa Cruz, 4902 Marinduque, Philippines",""
"Ramyeon Stop Korean Food Mart","Asian Grocery Store","0961 570 1833","Reynoso, Santa Cruz, Marinduque, Philippines",""
"Rejano's Bakery","Bakery/Shop","(02) 8647 0350","Barangay Banahaw, Santa Cruz, 4902, Marinduque, Santa Cruz, Marinduque, Philippines",""
"Alex SariSari Store","Grocery Store","N/A","61 Sitio Sta. Ana Brgy, Santa Cruz, Marinduque, Philippines",""
"Susana Store","Grocery Store","N/A","386 Tavera, Santa Cruz, Marinduque, Philippines",""
"R & M Gen. Merchandise","Retail Store/Mall","N/A","CXQR+9CX, Santa Cruz, Marinduque, Philippines",""
"Irene’s Brilliant Store Sta.Cruz Branch","Retail Store","0977 801 4610","Reforma, Santa Cruz, 4902 Marinduque, Philippines",""
"STOshopstore","Clothing Store","0956 281 3331","Kilo-kilo, Santa Cruz, 4902 Marinduque, Philippines",""
"A-Risha General Merchandise - Sta Cruz Branch","Home Goods Store","N/A","F2HJ+25X, Santa Cruz, Marinduque, Philippines",""
"Super Malou Sari-Sari Store","Sari-Sari Store","N/A","C3PF+RX4, Santa Cruz, Marinduque, Philippines",""
"Vape station sta cruz by bantad","Retail Store (Vape Shop)","N/A","Bagong - silang, sta cruz marinduque, Santa Cruz, Marinduque, Philippines",""
"Diosel and Ella Mae general merchandise","Convenience Store","N/A","088 T Claudio, Santa Cruz, Marinduque, Philippines",""
